   2.2517292713438745E-08
   2.5404485640848859E-08
   2.8647344839443951E-08
   3.2289036430990027E-08
   3.6377859573541515E-08
   4.0968170776668832E-08
   4.6120926965007980E-08
   5.1904538373420532E-08
   5.8395867012817550E-08
   6.5680906990010274E-08
   7.3856421661950877E-08
   8.3030912160076848E-08
   9.3326130413312551E-08
   1.0487884770192810E-07
   1.1784208210895694E-07
   1.3238798320059128E-07
   1.4870957848533850E-07
   1.6702344540340274E-07
   1.8757287554225843E-07
   2.1063002392527878E-07
   2.3650108985381983E-07
   2.6552937586800724E-07
   2.9810006722617181E-07
   3.3464583654025412E-07
   3.7565070996012748E-07
   4.2165921451705754E-07
   4.7328186763539745E-07
   5.3120403510001139E-07
   5.9619360077256171E-07
   6.6911375054588448E-07
   7.5093115031923307E-07
   1.4166433242905260E-07
   1.7194374637682972E-07
   2.0862998325512478E-07
   2.5307794498518134E-07
   3.0692919327604828E-07
   3.7217254364154599E-07
   4.5121756283467640E-07
   5.4698352363715709E-07
   6.6300725601916967E-07
   8.0357372004905780E-07
   9.7387431144438618E-07
   1.1801985188929986E-06
   1.4301662982143684E-06
   1.7330094050379527E-06
   2.0999123995628803E-06
   2.5444257189724828E-06
   3.0829659625847929E-06
   3.7354225221538093E-06
 0.177828E-19 0.643783E+06
 0.251188E-19 0.101334E+07
 0.354813E-19 0.152169E+07
 0.501188E-19 0.217999E+07
 0.707946E-19 0.297945E+07
 0.100000E-18 0.388485E+07
 0.141254E-18 0.483246E+07
 0.199526E-18 0.573479E+07
 0.281839E-18 0.649266E+07
 0.398108E-18 0.701266E+07
 0.562341E-18 0.722601E+07
 0.794328E-18 0.710347E+07
 0.112202E-17 0.666189E+07
 0.158490E-17 0.596047E+07
 0.223872E-17 0.508766E+07
 0.316228E-17 0.414297E+07
 0.446683E-17 0.321856E+07
 0.630956E-17 0.238543E+07
 0.891253E-17 0.168666E+07
 0.125893E-16 0.113774E+07
 0.177828E-16 0.732175E+06
 0.251188E-16 0.449513E+06
 0.354813E-16 0.263285E+06
 0.501188E-16 0.147117E+06
 0.707946E-16 0.784256E+05
 0.100000E-15 0.398848E+05
 0.141254E-15 0.193514E+05
 0.199526E-15 0.895722E+04
 0.281838E-15 0.395539E+04
 0.398108E-15 0.166633E+04
 0.562341E-15 0.669713E+03
 0.316228E-17 0.179791E+04
 0.562341E-17 0.330173E+04
 0.100000E-16 0.561610E+04
 0.177828E-16 0.884804E+04
 0.316228E-16 0.129115E+05
 0.562341E-16 0.174512E+05
 0.100000E-15 0.218471E+05
 0.177828E-15 0.253326E+05
 0.316228E-15 0.272073E+05
 0.562341E-15 0.270650E+05
 0.100000E-14 0.249373E+05
 0.177828E-14 0.212819E+05
 0.316228E-14 0.168224E+05
 0.562341E-14 0.123165E+05
 0.100000E-13 0.835223E+04
 0.177828E-13 0.524610E+04
 0.316228E-13 0.305204E+04
 0.562341E-13 0.164460E+04
